,Id,mother_id,mother_name,father_id,father_name,Name,Gender,Job,House,Wand,Patronus,Species,Blood status,Hair colour,Eye colour,Loyalty,Skills,Description,Birth,Death
0,1,12,Lily (Evans) J. Potter,13,James Pother,Harry James Potter,Male,Student,Gryffindor,"11""  Holly  phoenix feather",Stag,Human,Half-blood,Black,Bright green,Albus Dumbledore | Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Parseltongue| Defence Against the Dark Arts | Seeker,"Harry Potter is the Boy Who Lived, the Chosen One, the hero of the Wizarding world. He grew up with Muggles, and then came to Hogwarts where he faced dangers and terrors beyond his years. He, along with his friends Hermione Granger, Ron Weasley and Neville Longbottom, destroyed Voldemort’s Horcruxes. ",31 July 1980,
1,2,31,Molly (Prewett) Weasley,32,Arthur Weasley,Ronald Bilius Weasley,Male,Student,Gryffindor,"12"" Ash unicorn tail hair ",Jack Russell terrier,Human,Pure-blood,Red,Blue,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Wizard chess | Quidditch goalkeeping,"Ron Weasley is Harry Potter’s best friend and the youngest son of Molly and Arthur Weasley. The story of Ron’s life is one of being overshadowed by his family and friends, yet it is Ron’s heart and humor that have solidified his friendships and given those around him the support they needed… ",1 March 1980,
2,3,-1,-,-1,-,Hermione Jean Granger,Female,Student,Gryffindor,"10¾""  vine wood dragon heartstring",Otter,Human,Muggle-born,Brown,Brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Almost everything,"Resourceful, principled and brilliant, Hermione Jean Granger is easily the brightest witch of her generation. She, along with Ron Weasley, is one of Harry Potter’s closest friends. She is also Muggle-born (her parents were dentists – PS12), and so is a living, breathing example of the fallacy of pureblood… ",19 September 1979,
3,4,-1,Kendra Dumbledore,-1,Perceval Dumbledore,Albus Percival Wulfric Brian Dumbledore,Male,Headmaster,Gryffindor,"15"" Elder Thestral tail hair core",Phoenix,Human,Half-blood,Silver| formerly auburn,Blue,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Considered by many to be one of the most powerful wizards of his time,"Albus Dumbledore was the Headmaster of Hogwarts for over thirty years, a time period that encompassed both of Voldemort’s attempts to take over the Wizarding world. Considered to be the most powerful wizard of his time, Dumbledore was awarded the Order of Merlin, First Class, and was the Supreme Mugwump… ",Late August 1881,30 June 1997
4,5,-1,Fridluva,-1,-,Rubeus Hagrid,Male,Keeper of Keys and Grounds | Professor of Care of Magical Creatures ,Gryffindor,"16""  Oak unknown core",None,Half-Human/Half-Giant,Part-Human (Half-giant),Black,Black,Albus Dumbledore | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Resistant to stunning spells| above average strength | crossbowmanship,"Rubeus Hagrid is a half-giant with shaggy hair and a “wild, tangled beard” (PS1) who serves as the Keeper of Keys and Grounds, Gamekeeper, and Care of Magical Creatures professor at Hogwarts (PS4, PA6). He is excessively fond of “interesting creatures” — that anyone else would call… ",6 December 1928,
5,6,-1,Alice Longbottom,-1,Frank Longbotoom,Neville Longbottom,Male,Student,Gryffindor,"13"" Cherry unicorn hair",Non-corporeal,Human,Pure-blood,Blond,,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Herbology,"Neville is the son of Frank and Alice Longbottom, famous and well-liked Aurors who were tortured into madness by the Death Eater Bellatrix Lestrange. The Longbottoms are one of the few pureblood families in the Wizarding world. Neville is a staunch friend of Harry Potter’s, and a true Gryffindor. A… ",30 July  1980,
6,7,31,Molly (Prewett) Weasley,32,Arthur Weasley,Fred Weasley,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Beater,"Fred Weasley is one of the seven children of Arthur and Molly Weasley and twin brother to George Weasley. The twins are co-owners of Weasleys’ Wizard Wheezes, a highly successful joke shop in Diagon Alley. Sadly, Fred was a casualty of the Battle of Hogwarts. The Weasley twins are the… ",1 April  1978 ,2 May 1998
7,8,31,Molly (Prewett) Weasley,32,Arthur Weasley,George Weasley,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Beater,"George Weasley is one of the seven children of Arthur and Molly Weasley and twin brother to Fred Weasley. The twins are co-owners of Weasleys’ Wizard Wheezes, a highly successful joke shop in Diagon Alley. About the Weasley Twins: Mischief managed! The Weasley twins are the staunch enemies of pretension, authority, and… ", 1 April  1978 ,
8,9,31,Molly (Prewett) Weasley,32,Arthur Weasley,Ginevra (Ginny) Molly Weasley,Female,Student,Gryffindor,Unknown,Horse,Human,Pure-blood,Red,Bright brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Chaser| Bat-Bogey hex,"Ginevra Molly Weasley (Ginny) is the youngest child of the Weasley family and the only daughter. Ginny is the youngest child and only daughter of Arthur and Molly Weasley (CS3), and the first girl born to the family in several generations (JKR). Though consistently underestimated by her family, she… ",11 August  1981,
9,10,-1,Mrs Thomas,-1,-,Dean Thomas,Male,Student,Gryffindor,Unknown,Unknown,Human,Muggle-born,Black,Brown,Dumbledore's Army | Hogwarts School of Witchcraft and Wizardry,Chaser,"Dean Thomas was a “half-blood” Gryffindor boy from London in Harry’s year at Hogwarts. History He was a classmate of Harry’s and best friends with Seamus Finnigan (GF7). He was a black Londoner who grew up as a Muggle, and thus had always been a fan of… ", 1 September 1979- 31 August 1980,
